"","name","mean","standard deviation","min","max"
"1","Confirmed",88130.935828877,383318.663830615,10,4290259
"2","Deaths",3497.51871657754,14100.0024820185,0,148011
"3","Recovered",50631.4812834225,190188.18964314,0,1846641
"4","Active",34001.935828877,213326.173371429,0,2816444
"5","New.cases",1222.95721925134,5710.37479028056,0,56336
"6","New.deaths",28.9572192513369,120.037172955508,0,1076
"7","New.recovered",933.812834224599,4197.71963468826,0,33728
"8","Confirmed.last.week",78682.4759358289,338273.676566537,10,3834677
"9","X1.week.change",9448.45989304813,47491.1276840353,-47,455582
